date      ,team,rank             ,players
2022-04-25,26  ,GODSENT          ,"['HEN1', 'TACO', 'dumau', 'b4rtiN', 'latto']"
2022-04-25,27  ,MIBR             ,"['chelo', 'exit', 'WOOD7', 'Tuurtle', 'JOTA']"
2022-04-25,28  ,GamerLegion      ,"['Zero', 'RuStY', 'iM', 'eraa', 'isak']"
2022-04-25,29  ,1WIN             ,"['flamie', 'TRAVIS', 'glowiing', 'fostar', 'deko']"
2022-04-25,30  ,Apeks            ,"['STYKO', 'AcilioN', 'jkaem', 'nawwk', 'chawzyyy']"
2022-05-02,1   ,Natus Vincere    ,"['s1mple', 'electroNic', 'Boombl4', 'Perfecto', 'b1t']"
2022-05-02,2   ,FaZe             ,"['karrigan', 'rain', 'Twistzz', 'ropz', 'broky']"
2022-05-02,3   ,Gambit           ,"['HObbit', 'interz', 'Ax1Le', 'sh1ro', 'nafany']"
2022-05-02,4   ,G2               ,"['JACKZ', 'NiKo', 'huNter-', 'Aleksib', 'm0NESY']"
2022-05-02,5   ,Heroic           ,"['cadiaN', 'refrezh', 'stavn', 'TeSeS', 'sjuush']"
2022-05-02,6   ,Virtus.pro       ,"['buster', 'FL1T', 'Qikert', 'Jame', 'YEKINDAR']"
2022-05-02,7   ,Ninjas in Pyjamas,"['es3tag', 'REZ', 'hampus', 'Plopski', 'phzy']"
2022-05-02,8   ,Vitality         ,"['apEX', 'dupreeh', 'Magisk', 'ZywOo', 'misutaaa']"
2022-05-02,9   ,Astralis         ,"['Xyp9x', 'gla1ve', 'k0nfig', 'Farlig', 'blameF']"
2022-05-02,10  ,ENCE             ,"['Snappi', 'Maden', 'dycha', 'hades', 'Spinx']"
2022-05-02,11  ,FURIA            ,"['arT', 'yuurih', 'KSCERATO', 'saffee', 'drop']"
2022-05-02,12  ,Copenhagen Flames,"['HooXi', 'nicoodoz', 'roeJ', 'jabbi', 'Zyphon']"
2022-05-02,13  ,Entropiq         ,"['NickelBack', 'Krad', 'Lack1', 'El1an', 'Forester']"
2022-05-02,14  ,OG               ,"['valde', 'nexa', 'niko', 'mantuu', 'flameZ']"
2022-05-02,15  ,MOUZ             ,"['dexter', 'frozen', 'JDC', 'torzsi', 'Bymas']"
2022-05-02,16  ,fnatic           ,"['KRIMZ', 'ALEX', 'poizon', 'Peppzor', 'mezii']"
2022-05-02,17  ,SKADE            ,"['bubble', 'dream3r', 'SHiPZ', 'dennyslaw', 'Rainwaker']"
2022-05-02,18  ,Movistar Riders  ,"['alex', 'mopoz', 'DeathZz', 'SunPayus', 'dav1g']"
2022-05-02,19  ,BIG              ,"['tabseN', 'tiziaN', 'syrsoN', 'faveN', 'Krimbo']"
2022-05-02,20  ,HEET             ,"['bodyy', 'Lucky', 'Djoko', 'Ex3rcice', 'afro']"
2022-05-02,21  ,Liquid           ,"['shox', 'nitr0', 'NAF', 'EliGE', 'oSee']"
2022-05-02,22  ,K23              ,"['neaLaN', 'xsepower', 'n0rb3r7', 'X5G7V', 'fame']"
2022-05-02,23  ,forZe            ,"['Jerry', 'zorte', 'shalfey', 'KENSI', 'Norwi']"
2022-05-02,24  ,ECSTATIC         ,"['FASHR', 'Daffu', 'WolfY', 'birdfromsky', 'maNkz']"
2022-05-02,25  ,Complexity       ,"['JT', 'floppy', 'Grim', 'junior', 'FaNg']"
2022-05-02,26  ,GODSENT          ,"['HEN1', 'TACO', 'dumau', 'b4rtiN', 'latto']"
2022-05-02,27  ,MIBR             ,"['chelo', 'exit', 'WOOD7', 'Tuurtle', 'JOTA']"
2022-05-02,28  ,GamerLegion      ,"['Zero', 'RuStY', 'iM', 'eraa', 'isak']"
2022-05-02,29  ,1WIN             ,"['flamie', 'TRAVIS', 'glowiing', 'fostar', 'deko']"
2022-05-02,30  ,Apeks            ,"['STYKO', 'AcilioN', 'jkaem', 'nawwk', 'chawzyyy']"
2022-05-09,1   ,Natus Vincere    ,"['s1mple', 'electroNic', 'Boombl4', 'Perfecto', 'b1t']"
2022-05-09,2   ,FaZe             ,"['karrigan', 'rain', 'Twistzz', 'ropz', 'broky']"
2022-05-09,3   ,Gambit           ,"['HObbit', 'interz', 'Ax1Le', 'sh1ro', 'nafany']"
2022-05-09,4   ,G2               ,"['JACKZ', 'NiKo', 'huNter-', 'Aleksib', 'm0NESY']"
2022-05-09,5   ,Heroic           ,"['cadiaN', 'refrezh', 'stavn', 'TeSeS', 'sjuush']"
2022-05-09,6   ,Virtus.pro       ,"['buster', 'FL1T', 'Qikert', 'Jame', 'YEKINDAR']"
2022-05-09,7   ,Ninjas in Pyjamas,"['es3tag', 'REZ', 'hampus', 'Plopski', 'phzy']"
2022-05-09,8   ,Vitality         ,"['apEX', 'dupreeh', 'Magisk', 'ZywOo', 'misutaaa']"
2022-05-09,9   ,Astralis         ,"['Xyp9x', 'gla1ve', 'k0nfig', 'Farlig', 'blameF']"
2022-05-09,10  ,ENCE             ,"['Snappi', 'Maden', 'dycha', 'hades', 'Spinx']"
2022-05-09,11  ,FURIA            ,"['arT', 'yuurih', 'KSCERATO', 'saffee', 'drop']"
2022-05-09,12  ,Copenhagen Flames,"['HooXi', 'nicoodoz', 'roeJ', 'jabbi', 'Zyphon']"
2022-05-09,13  ,Entropiq         ,"['NickelBack', 'Krad', 'Lack1', 'El1an', 'Forester']"
2022-05-09,14  ,OG               ,"['valde', 'nexa', 'niko', 'mantuu', 'flameZ']"
2022-05-09,15  ,MOUZ             ,"['dexter', 'frozen', 'JDC', 'torzsi', 'Bymas']"
2022-05-09,16  ,fnatic           ,"['KRIMZ', 'ALEX', 'poizon', 'Peppzor', 'mezii']"
2022-05-09,17  ,SKADE            ,"['bubble', 'dream3r', 'SHiPZ', 'dennyslaw', 'Rainwaker']"
2022-05-09,18  ,Movistar Riders  ,"['alex', 'mopoz', 'DeathZz', 'SunPayus', 'dav1g']"
2022-05-09,19  ,BIG              ,"['tabseN', 'tiziaN', 'syrsoN', 'faveN', 'Krimbo']"
2022-05-09,20  ,HEET             ,"['bodyy', 'Lucky', 'Djoko', 'Ex3rcice', 'afro']"
2022-05-09,21  ,Liquid           ,"['shox', 'nitr0', 'NAF', 'EliGE', 'oSee']"
2022-05-09,22  ,K23              ,"['neaLaN', 'xsepower', 'n0rb3r7', 'X5G7V', 'fame']"
2022-05-09,23  ,forZe            ,"['Jerry', 'zorte', 'shalfey', 'KENSI', 'Norwi']"
2022-05-09,24  ,ECSTATIC         ,"['FASHR', 'Daffu', 'WolfY', 'birdfromsky', 'maNkz']"
2022-05-09,25  ,Complexity       ,"['JT', 'floppy', 'Grim', 'junior', 'FaNg']"
2022-05-09,26  ,GODSENT          ,"['HEN1', 'TACO', 'dumau', 'b4rtiN', 'latto']"
2022-05-09,27  ,MIBR             ,"['chelo', 'exit', 'WOOD7', 'Tuurtle', 'JOTA']"
2022-05-09,28  ,GamerLegion      ,"['Zero', 'RuStY', 'iM', 'eraa', 'isak']"
2022-05-09,29  ,1WIN             ,"['flamie', 'TRAVIS', 'glowiing', 'fostar', 'deko']"
2022-05-09,30  ,Apeks            ,"['STYKO', 'AcilioN', 'jkaem', 'nawwk', 'chawzyyy']"
2022-05-16,1   ,Natus Vincere    ,"['s1mple', 'electroNic', 'Boombl4', 'Perfecto', 'b1t']"
2022-05-16,2   ,FaZe             ,"['karrigan', 'rain', 'Twistzz', 'ropz', 'broky']"
2022-05-16,3   ,Gambit           ,"['HObbit', 'interz', 'Ax1Le', 'sh1ro', 'nafany']"
2022-05-16,4   ,G2               ,"['JACKZ', 'NiKo', 'huNter-', 'Aleksib', 'm0NESY']"
2022-05-16,5   ,Heroic           ,"['cadiaN', 'refrezh', 'stavn', 'TeSeS', 'sjuush']"
2022-05-16,6   ,Virtus.pro       ,"['buster', 'FL1T', 'Qikert', 'Jame', 'YEKINDAR']"
2022-05-16,7   ,Ninjas in Pyjamas,"['es3tag', 'REZ', 'hampus', 'Plopski', 'phzy']"
2022-05-16,8   ,Vitality         ,"['apEX', 'dupreeh', 'Magisk', 'ZywOo', 'misutaaa']"
2022-05-16,9   ,Astralis         ,"['Xyp9x', 'gla1ve', 'k0nfig', 'Farlig', 'blameF']"
2022-05-16,10  ,ENCE             ,"['Snappi', 'Maden', 'dycha', 'hades', 'Spinx']"
2022-05-16,11  ,FURIA            ,"['arT', 'yuurih', 'KSCERATO', 'saffee', 'drop']"
2022-05-16,12  ,Copenhagen Flames,"['HooXi', 'nicoodoz', 'roeJ', 'jabbi', 'Zyphon']"
2022-05-16,13  ,Entropiq         ,"['NickelBack', 'Krad', 'Lack1', 'El1an', 'Forester']"
2022-05-16,14  ,OG               ,"['valde', 'nexa', 'niko', 'mantuu', 'flameZ']"
2022-05-16,15  ,MOUZ             ,"['dexter', 'frozen', 'JDC', 'torzsi', 'Bymas']"
2022-05-16,16  ,fnatic           ,"['KRIMZ', 'ALEX', 'poizon', 'Peppzor', 'mezii']"
2022-05-16,17  ,SKADE            ,"['bubble', 'dream3r', 'SHiPZ', 'dennyslaw', 'Rainwaker']"
2022-05-16,18  ,Movistar Riders  ,"['alex', 'mopoz', 'DeathZz', 'SunPayus', 'dav1g']"
2022-05-16,19  ,BIG              ,"['tabseN', 'tiziaN', 'syrsoN', 'faveN', 'Krimbo']"
2022-05-16,20  ,HEET             ,"['bodyy', 'Lucky', 'Djoko', 'Ex3rcice', 'afro']"
2022-05-16,21  ,Liquid           ,"['shox', 'nitr0', 'NAF', 'EliGE', 'oSee']"
2022-05-16,22  ,K23              ,"['neaLaN', 'xsepower', 'n0rb3r7', 'X5G7V', 'fame']"
2022-05-16,23  ,forZe            ,"['Jerry', 'zorte', 'shalfey', 'KENSI', 'Norwi']"
2022-05-16,24  ,ECSTATIC         ,"['FASHR', 'Daffu', 'WolfY', 'birdfromsky', 'maNkz']"
2022-05-16,25  ,Complexity       ,"['JT', 'floppy', 'Grim', 'junior', 'FaNg']"
2022-05-16,26  ,GODSENT          ,"['HEN1', 'TACO', 'dumau', 'b4rtiN', 'latto']"
2022-05-16,27  ,MIBR             ,"['chelo', 'exit', 'WOOD7', 'Tuurtle', 'JOTA']"
2022-05-16,28  ,GamerLegion      ,"['Zero', 'RuStY', 'iM', 'eraa', 'isak']"
2022-05-16,29  ,1WIN             ,"['flamie', 'TRAVIS', 'glowiing', 'fostar', 'deko']"
2022-05-16,30  ,Apeks            ,"['STYKO', 'AcilioN', 'jkaem', 'nawwk', 'chawzyyy']"
2022-05-23,1   ,Natus Vincere    ,"['s1mple', 'electroNic', 'Boombl4', 'Perfecto', 'b1t']"
2022-05-23,2   ,FaZe             ,"['karrigan', 'rain', 'Twistzz', 'ropz', 'broky']"
2022-05-23,3   ,Gambit           ,"['HObbit', 'interz', 'Ax1Le', 'sh1ro', 'nafany']"
2022-05-23,4   ,G2               ,"['JACKZ', 'NiKo', 'huNter-', 'Aleksib', 'm0NESY']"
2022-05-23,5   ,Heroic           ,"['cadiaN', 'refrezh', 'stavn', 'TeSeS', 'sjuush']"
2022-05-23,6   ,Virtus.pro       ,"['buster', 'FL1T', 'Qikert', 'Jame', 'YEKINDAR']"
2022-05-23,7   ,Ninjas in Pyjamas,"['es3tag', 'REZ', 'hampus', 'Plopski', 'phzy']"
2022-05-23,8   ,Vitality         ,"['apEX', 'dupreeh', 'Magisk', 'ZywOo', 'misutaaa']"
2022-05-23,9   ,Astralis         ,"['Xyp9x', 'gla1ve', 'k0nfig', 'Farlig', 'blameF']"
2022-05-23,10  ,ENCE             ,"['Snappi', 'Maden', 'dycha', 'hades', 'Spinx']"
2022-05-23,11  ,FURIA            ,"['arT', 'yuurih', 'KSCERATO', 'saffee', 'drop']"
2022-05-23,12  ,Copenhagen Flames,"['HooXi', 'nicoodoz', 'roeJ', 'jabbi', 'Zyphon']"
2022-05-23,13  ,Entropiq         ,"['NickelBack', 'Krad', 'Lack1', 'El1an', 'Forester']"
2022-05-23,14  ,OG               ,"['valde', 'nexa', 'niko', 'mantuu', 'flameZ']"
2022-05-23,15  ,MOUZ             ,"['dexter', 'frozen', 'JDC', 'torzsi', 'Bymas']"
2022-05-23,16  ,fnatic           ,"['KRIMZ', 'ALEX', 'poizon', 'Peppzor', 'mezii']"
2022-05-23,17  ,SKADE            ,"['bubble', 'dream3r', 'SHiPZ', 'dennyslaw', 'Rainwaker']"
2022-05-23,18  ,Movistar Riders  ,"['alex', 'mopoz', 'DeathZz', 'SunPayus', 'dav1g']"
2022-05-23,19  ,BIG              ,"['tabseN', 'tiziaN', 'syrsoN', 'faveN', 'Krimbo']"
2022-05-23,20  ,HEET             ,"['bodyy', 'Lucky', 'Djoko', 'Ex3rcice', 'afro']"
2022-05-23,21  ,Liquid           ,"['shox', 'nitr0', 'NAF', 'EliGE', 'oSee']"
2022-05-23,22  ,K23              ,"['neaLaN', 'xsepower', 'n0rb3r7', 'X5G7V', 'fame']"
2022-05-23,23  ,forZe            ,"['Jerry', 'zorte', 'shalfey', 'KENSI', 'Norwi']"
2022-05-23,24  ,ECSTATIC         ,"['FASHR', 'Daffu', 'WolfY', 'birdfromsky', 'maNkz']"
2022-05-23,25  ,Complexity       ,"['JT', 'floppy', 'Grim', 'junior', 'FaNg']"
2022-05-23,26  ,GODSENT          ,"['HEN1', 'TACO', 'dumau', 'b4rtiN', 'latto']"
2022-05-23,27  ,MIBR             ,"['chelo', 'exit', 'WOOD7', 'Tuurtle', 'JOTA']"
2022-05-23,28  ,GamerLegion      ,"['Zero', 'RuStY', 'iM', 'eraa', 'isak']"
2022-05-23,29  ,1WIN             ,"['flamie', 'TRAVIS', 'glowiing', 'fostar', 'deko']"
2022-05-23,30  ,Apeks            ,"['STYKO', 'AcilioN', 'jkaem', 'nawwk', 'chawzyyy']"
2022-05-30,1   ,Natus Vincere    ,"['s1mple', 'electroNic', 'Boombl4', 'Perfecto', 'b1t']"
2022-05-30,2   ,FaZe             ,"['karrigan', 'rain', 'Twistzz', 'ropz', 'broky']"
2022-05-30,3   ,Gambit           ,"['HObbit', 'interz', 'Ax1Le', 'sh1ro', 'nafany']"
2022-05-30,4   ,G2               ,"['JACKZ', 'NiKo', 'huNter-', 'Aleksib', 'm0NESY']"
2022-05-30,5   ,Heroic           ,"['cadiaN', 'refrezh', 'stavn', 'TeSeS', 'sjuush']"
2022-05-30,6   ,Virtus.pro       ,"['buster', 'FL1T', 'Qikert', 'Jame', 'YEKINDAR']"
2022-05-30,7   ,Ninjas in Pyjamas,"['es3tag', 'REZ', 'hampus', 'Plopski', 'phzy']"
2022-05-30,8   ,Vitality         ,"['apEX', 'dupreeh', 'Magisk', 'ZywOo', 'misutaaa']"
2022-05-30,9   ,Astralis         ,"['Xyp9x', 'gla1ve', 'k0nfig', 'Farlig', 'blameF']"
2022-05-30,10  ,ENCE             ,"['Snappi', 'Maden', 'dycha', 'hades', 'Spinx']"
2022-05-30,11  ,FURIA            ,"['arT', 'yuurih', 'KSCERATO', 'saffee', 'drop']"
2022-05-30,12  ,Copenhagen Flames,"['HooXi', 'nicoodoz', 'roeJ', 'jabbi', 'Zyphon']"
2022-05-30,13  ,Entropiq         ,"['NickelBack', 'Krad', 'Lack1', 'El1an', 'Forester']"
2022-05-30,14  ,OG               ,"['valde', 'nexa', 'niko', 'mantuu', 'flameZ']"
2022-05-30,15  ,MOUZ             ,"['dexter', 'frozen', 'JDC', 'torzsi', 'Bymas']"
2022-05-30,16  ,fnatic           ,"['KRIMZ', 'ALEX', 'poizon', 'Peppzor', 'mezii']"
2022-05-30,17  ,SKADE            ,"['bubble', 'dream3r', 'SHiPZ', 'dennyslaw', 'Rainwaker']"
2022-05-30,18  ,Movistar Riders  ,"['alex', 'mopoz', 'DeathZz', 'SunPayus', 'dav1g']"
2022-05-30,19  ,BIG              ,"['tabseN', 'tiziaN', 'syrsoN', 'faveN', 'Krimbo']"
2022-05-30,20  ,HEET             ,"['bodyy', 'Lucky', 'Djoko', 'Ex3rcice', 'afro']"
2022-05-30,21  ,Liquid           ,"['shox', 'nitr0', 'NAF', 'EliGE', 'oSee']"
2022-05-30,22  ,K23              ,"['neaLaN', 'xsepower', 'n0rb3r7', 'X5G7V', 'fame']"
2022-05-30,23  ,forZe            ,"['Jerry', 'zorte', 'shalfey', 'KENSI', 'Norwi']"
2022-05-30,24  ,ECSTATIC         ,"['FASHR', 'Daffu', 'WolfY', 'birdfromsky', 'maNkz']"
2022-05-30,25  ,Complexity       ,"['JT', 'floppy', 'Grim', 'junior', 'FaNg']"
2022-05-30,26  ,GODSENT          ,"['HEN1', 'TACO', 'dumau', 'b4rtiN', 'latto']"
2022-05-30,27  ,MIBR             ,"['chelo', 'exit', 'WOOD7', 'Tuurtle', 'JOTA']"
2022-05-30,28  ,GamerLegion      ,"['Zero', 'RuStY', 'iM', 'eraa', 'isak']"
2022-05-30,29  ,1WIN             ,"['flamie', 'TRAVIS', 'glowiing', 'fostar', 'deko']"
2022-05-30,30  ,Apeks            ,"['STYKO', 'AcilioN', 'jkaem', 'nawwk', 'chawzyyy']"
2022-06-06,1   ,Natus Vincere    ,"['s1mple', 'electroNic', 'Boombl4', 'Perfecto', 'b1t']"
2022-06-06,2   ,FaZe             ,"['karrigan', 'rain', 'Twistzz', 'ropz', 'broky']"
2022-06-06,3   ,Gambit           ,"['HObbit', 'interz', 'Ax1Le', 'sh1ro', 'nafany']"
2022-06-06,4   ,G2               ,"['JACKZ', 'NiKo', 'huNter-', 'Aleksib', 'm0NESY']"
2022-06-06,5   ,Heroic           ,"['cadiaN', 'refrezh', 'stavn', 'TeSeS', 'sjuush']"
2022-06-06,6   ,Virtus.pro       ,"['buster', 'FL1T', 'Qikert', 'Jame', 'YEKINDAR']"
2022-06-06,7   ,Ninjas in Pyjamas,"['es3tag', 'REZ', 'hampus', 'Plopski', 'phzy']"
2022-06-06,8   ,Vitality         ,"['apEX', 'dupreeh', 'Magisk', 'ZywOo', 'misutaaa']"
2022-06-06,9   ,Astralis         ,"['Xyp9x', 'gla1ve', 'k0nfig', 'Farlig', 'blameF']"
2022-06-06,10  ,ENCE             ,"['Snappi', 'Maden', 'dycha', 'hades', 'Spinx']"
2022-06-06,11  ,FURIA            ,"['arT', 'yuurih', 'KSCERATO', 'saffee', 'drop']"
2022-06-06,12  ,Copenhagen Flames,"['HooXi', 'nicoodoz', 'roeJ', 'jabbi', 'Zyphon']"
2022-06-06,13  ,Entropiq         ,"['NickelBack', 'Krad', 'Lack1', 'El1an', 'Forester']"
2022-06-06,14  ,OG               ,"['valde', 'nexa', 'niko', 'mantuu', 'flameZ']"
2022-06-06,15  ,MOUZ             ,"['dexter', 'frozen', 'JDC', 'torzsi', 'Bymas']"
2022-06-06,16  ,fnatic           ,"['KRIMZ', 'ALEX', 'poizon', 'Peppzor', 'mezii']"
2022-06-06,17  ,SKADE            ,"['bubble', 'dream3r', 'SHiPZ', 'dennyslaw', 'Rainwaker']"
2022-06-06,18  ,Movistar Riders  ,"['alex', 'mopoz', 'DeathZz', 'SunPayus', 'dav1g']"
2022-06-06,19  ,BIG              ,"['tabseN', 'tiziaN', 'syrsoN', 'faveN', 'Krimbo']"
2022-06-06,20  ,HEET             ,"['bodyy', 'Lucky', 'Djoko', 'Ex3rcice', 'afro']"
2022-06-06,21  ,Liquid           ,"['shox', 'nitr0', 'NAF', 'EliGE', 'oSee']"
2022-06-06,22  ,K23              ,"['neaLaN', 'xsepower', 'n0rb3r7', 'X5G7V', 'fame']"
2022-06-06,23  ,forZe            ,"['Jerry', 'zorte', 'shalfey', 'KENSI', 'Norwi']"
2022-06-06,24  ,ECSTATIC         ,"['FASHR', 'Daffu', 'WolfY', 'birdfromsky', 'maNkz']"
2022-06-06,25  ,Complexity       ,"['JT', 'floppy', 'Grim', 'junior', 'FaNg']"
2022-06-06,26  ,GODSENT          ,"['HEN1', 'TACO', 'dumau', 'b4rtiN', 'latto']"
2022-06-06,27  ,MIBR             ,"['chelo', 'exit', 'WOOD7', 'Tuurtle', 'JOTA']"
2022-06-06,28  ,GamerLegion      ,"['Zero', 'RuStY', 'iM', 'eraa', 'isak']"
2022-06-06,29  ,1WIN             ,"['flamie', 'TRAVIS', 'glowiing', 'fostar', 'deko']"
2022-06-06,30  ,Apeks            ,"['STYKO', 'AcilioN', 'jkaem', 'nawwk', 'chawzyyy']"
2022-06-13,1   ,Natus Vincere    ,"['s1mple', 'electroNic', 'Boombl4', 'Perfecto', 'b1t']"
2022-06-13,2   ,FaZe             ,"['karrigan', 'rain', 'Twistzz', 'ropz', 'broky']"
2022-06-13,3   ,Gambit           ,"['HObbit', 'interz', 'Ax1Le', 'sh1ro', 'nafany']"
2022-06-13,4   ,G2               ,"['JACKZ', 'NiKo', 'huNter-', 'Aleksib', 'm0NESY']"
2022-06-13,5   ,Heroic           ,"['cadiaN', 'refrezh', 'stavn', 'TeSeS', 'sjuush']"
2022-06-13,6   ,Virtus.pro       ,"['buster', 'FL1T', 'Qikert', 'Jame', 'YEKINDAR']"
2022-06-13,7   ,Ninjas in Pyjamas,"['es3tag', 'REZ', 'hampus', 'Plopski', 'phzy']"
2022-06-13,8   ,Vitality         ,"['apEX', 'dupreeh', 'Magisk', 'ZywOo', 'misutaaa']"
2022-06-13,9   ,Astralis         ,"['Xyp9x', 'gla1ve', 'k0nfig', 'Farlig', 'blameF']"
2022-06-13,10  ,ENCE             ,"['Snappi', 'Maden', 'dycha', 'hades', 'Spinx']"
2022-06-13,11  ,FURIA            ,"['arT', 'yuurih', 'KSCERATO', 'saffee', 'drop']"
2022-06-13,12  ,Copenhagen Flames,"['HooXi', 'nicoodoz', 'roeJ', 'jabbi', 'Zyphon']"
2022-06-13,13  ,Entropiq         ,"['NickelBack', 'Krad', 'Lack1', 'El1an', 'Forester']"
2022-06-13,14  ,OG               ,"['valde', 'nexa', 'niko', 'mantuu', 'flameZ']"
2022-06-13,15  ,MOUZ             ,"['dexter', 'frozen', 'JDC', 'torzsi', 'Bymas']"
2022-06-13,16  ,fnatic           ,"['KRIMZ', 'ALEX', 'poizon', 'Peppzor', 'mezii']"
2022-06-13,17  ,SKADE            ,"['bubble', 'dream3r', 'SHiPZ', 'dennyslaw', 'Rainwaker']"
2022-06-13,18  ,Movistar Riders  ,"['alex', 'mopoz', 'DeathZz', 'SunPayus', 'dav1g']"
2022-06-13,19  ,BIG              ,"['tabseN', 'tiziaN', 'syrsoN', 'faveN', 'Krimbo']"
2022-06-13,20  ,HEET             ,"['bodyy', 'Lucky', 'Djoko', 'Ex3rcice', 'afro']"
2022-06-13,21  ,Liquid           ,"['shox', 'nitr0', 'NAF', 'EliGE', 'oSee']"
2022-06-13,22  ,K23              ,"['neaLaN', 'xsepower', 'n0rb3r7', 'X5G7V', 'fame']"
2022-06-13,23  ,forZe            ,"['Jerry', 'zorte', 'shalfey', 'KENSI', 'Norwi']"
2022-06-13,24  ,ECSTATIC         ,"['FASHR', 'Daffu', 'WolfY', 'birdfromsky', 'maNkz']"
2022-06-13,25  ,Complexity       ,"['JT', 'floppy', 'Grim', 'junior', 'FaNg']"
2022-06-13,26  ,GODSENT          ,"['HEN1', 'TACO', 'dumau', 'b4rtiN', 'latto']"
2022-06-13,27  ,MIBR             ,"['chelo', 'exit', 'WOOD7', 'Tuurtle', 'JOTA']"
2022-06-13,28  ,GamerLegion      ,"['Zero', 'RuStY', 'iM', 'eraa', 'isak']"
2022-06-13,29  ,1WIN             ,"['flamie', 'TRAVIS', 'glowiing', 'fostar', 'deko']"
2022-06-13,30  ,Apeks            ,"['STYKO', 'AcilioN', 'jkaem', 'nawwk', 'chawzyyy']"
2022-06-20,1   ,Natus Vincere    ,"['s1mple', 'electroNic', 'Boombl4', 'Perfecto', 'b1t']"
2022-06-20,2   ,FaZe             ,"['karrigan', 'rain', 'Twistzz', 'ropz', 'broky']"
2022-06-20,3   ,Gambit           ,"['HObbit', 'interz', 'Ax1Le', 'sh1ro', 'nafany']"
2022-06-20,4   ,G2               ,"['JACKZ', 'NiKo', 'huNter-', 'Aleksib', 'm0NESY']"
2022-06-20,5   ,Heroic           ,"['cadiaN', 'refrezh', 'stavn', 'TeSeS', 'sjuush']"
2022-06-20,6   ,Virtus.pro       ,"['buster', 'FL1T', 'Qikert', 'Jame', 'YEKINDAR']"
2022-06-20,7   ,Ninjas in Pyjamas,"['es3tag', 'REZ', 'hampus', 'Plopski', 'phzy']"
2022-06-20,8   ,Vitality         ,"['apEX', 'dupreeh', 'Magisk', 'ZywOo', 'misutaaa']"
2022-06-20,9   ,Astralis         ,"['Xyp9x', 'gla1ve', 'k0nfig', 'Farlig', 'blameF']"
2022-06-20,10  ,ENCE             ,"['Snappi', 'Maden', 'dycha', 'hades', 'Spinx']"
2022-06-20,11  ,FURIA            ,"['arT', 'yuurih', 'KSCERATO', 'saffee', 'drop']"
2022-06-20,12  ,Copenhagen Flames,"['HooXi', 'nicoodoz', 'roeJ', 'jabbi', 'Zyphon']"
2022-06-20,13  ,Entropiq         ,"['NickelBack', 'Krad', 'Lack1', 'El1an', 'Forester']"
2022-06-20,14  ,OG               ,"['valde', 'nexa', 'niko', 'mantuu', 'flameZ']"
2022-06-20,15  ,MOUZ             ,"['dexter', 'frozen', 'JDC', 'torzsi', 'Bymas']"
2022-06-20,16  ,fnatic           ,"['KRIMZ', 'ALEX', 'poizon', 'Peppzor', 'mezii']"
2022-06-20,17  ,SKADE            ,"['bubble', 'dream3r', 'SHiPZ', 'dennyslaw', 'Rainwaker']"
2022-06-20,18  ,Movistar Riders  ,"['alex', 'mopoz', 'DeathZz', 'SunPayus', 'dav1g']"
2022-06-20,19  ,BIG              ,"['tabseN', 'tiziaN', 'syrsoN', 'faveN', 'Krimbo']"
2022-06-20,20  ,HEET             ,"['bodyy', 'Lucky', 'Djoko', 'Ex3rcice', 'afro']"
2022-06-20,21  ,Liquid           ,"['shox', 'nitr0', 'NAF', 'EliGE', 'oSee']"
2022-06-20,22  ,K23              ,"['neaLaN', 'xsepower', 'n0rb3r7', 'X5G7V', 'fame']"
2022-06-20,23  ,forZe            ,"['Jerry', 'zorte', 'shalfey', 'KENSI', 'Norwi']"
2022-06-20,24  ,ECSTATIC         ,"['FASHR', 'Daffu', 'WolfY', 'birdfromsky', 'maNkz']"
2022-06-20,25  ,Complexity       ,"['JT', 'floppy', 'Grim', 'junior', 'FaNg']"
2022-06-20,26  ,GODSENT          ,"['HEN1', 'TACO', 'dumau', 'b4rtiN', 'latto']"
2022-06-20,27  ,MIBR             ,"['chelo', 'exit', 'WOOD7', 'Tuurtle', 'JOTA']"
2022-06-20,28  ,GamerLegion      ,"['Zero', 'RuStY', 'iM', 'eraa', 'isak']"
2022-06-20,29  ,1WIN             ,"['flamie', 'TRAVIS', 'glowiing', 'fostar', 'deko']"
2022-06-20,30  ,Apeks            ,"['STYKO', 'AcilioN', 'jkaem', 'nawwk', 'chawzyyy']"
2022-06-27,1   ,Natus Vincere    ,"['s1mple', 'electroNic', 'Boombl4', 'Perfecto', 'b1t']"
2022-06-27,2   ,FaZe             ,"['karrigan', 'rain', 'Twistzz', 'ropz', 'broky']"
2022-06-27,3   ,Gambit           ,"['HObbit', 'interz', 'Ax1Le', 'sh1ro', 'nafany']"
2022-06-27,4   ,G2               ,"['JACKZ', 'NiKo', 'huNter-', 'Aleksib', 'm0NESY']"
2022-06-27,5   ,Heroic           ,"['cadiaN', 'refrezh', 'stavn', 'TeSeS', 'sjuush']"
2022-06-27,6   ,Virtus.pro       ,"['buster', 'FL1T', 'Qikert', 'Jame', 'YEKINDAR']"
2022-06-27,7   ,Ninjas in Pyjamas,"['es3tag', 'REZ', 'hampus', 'Plopski', 'phzy']"
2022-06-27,8   ,Vitality         ,"['apEX', 'dupreeh', 'Magisk', 'ZywOo', 'misutaaa']"
